id,category,shape,shape_type,triples,lexicalization,prefix
4215,Food,(X (X) (X (X) (X))),mixed,"[<S> Indonesia <P> capital <O> Jakarta, <S> Indonesia <P> leaderName <O> Jusuf Kalla, <S> Bakso <P> region <O> Indonesia, <S> Bakso <P> country <O> Chinese cuisine]","""Baksso - bwyd Tsieineaidd, a ddarperir yn Indonesia, y mae'r arweinydd yn Yusuf Kalla.",Welsh
1589,Building,(X (X) (X)),sibling,"[<S> AC Hotel Bella Sky Copenhagen <P> location <O> Denmark, <S> AC Hotel Bella Sky Copenhagen <P> tenant <O> Marriott International]","""Mae Marriott International yn rhentu Hotel Bella Skye yn Copenhagen, sy'n lleoli yn Ddanemark. """,Welsh
8361,WrittenWork,(X (X (X) (X))),mixed,"[<S> United States <P> ethnicGroup <O> African Americans, <S> United States <P> capital <O> Washington, D.C., <S> A Fortress of Grey Ice <P> country <O> United States]","""Mae'r Ffortress of Grey Ice yn dod o'r Unol Daleithiau lle mae America Affricanaidd yn un o'r grwpiau ethnig a'r brifddinas yw Washington D.C""., ""Yn yr Unol Daleithiau mae un o'r grwpiau ethnig yn Africanaidd America a'r prifddinas yw Washington DC. Mae Ffortress of Grey Ice yn dod o'r wlad"".",Welsh
4003,Food,(X (X) (X (X) (X))),mixed,"[<S> Asam pedas <P> country <O> Malaysia, <S> Sumatra <P> ethnicGroup <O> Batak, <S> Sumatra <P> ethnicGroup <O> Minangkabau people, <S> Asam pedas <P> region <O> Sumatra]","""Asam pedas   yw bled o Sumatra, Malaysia. Bataki i miangkabau - grwpiau ethnol o Sumatra. """,Welsh
2563,Politician,(X (X)),,[<S> Alfred N. Phillips <P> activeYearsEndDate <O> 1939-01-03],"""Mae Alfred N Phillips wedi ymddeol ar dyddiad 1939-01-03.""",Welsh
851,Athlete,(X (X)),,"[<S> Brandon, Manitoba <P> leader <O> Larry Maguire]","""Mae arweinydd Brandon Manitoba yn Larry Maguire. "" ""Mae Larry Maguire yn arweinydd Brandon, Manitoba. """,Welsh
8466,Airport,(X (X) (X) (X) (X)),sibling,"[<S> Al Asad Airbase <P> operatingOrganisation <O> United States Air Force, <S> Al Asad Airbase <P> location <O> Iraq, <S> Al Asad Airbase <P> runwayLength <O> 3992.88, <S> Al Asad Airbase <P> runwayName <O> ""08/26""]","""Mae'r maes awyr Al Asad yn yr Irac yn cael ei weithredu gan yr Lluoedd awyr yr Unol Daleithiau. Mae'r enw'r llwybr yn 08/26 ac mae ganddo lewdder o 3992.88."", ""Mae sefydliad gweithredu'r maes awyr Al Asad yn yr Irac yn yr Lluoedd awyr yr Unol Daleithiau. Mae'r llwybr yn 3992.88 ac mae'n cael ei enw 08/26."", ""Mae'r llwybr awyr Al Asad (a lewyd yn yr Irac) yn cael ei weithredu gan y Lluoedd",Welsh
30,Airport,(X (X)),,[<S> Adirondack Regional Airport <P> runwayLength <O> 1219.0],"""Mae hyd y llwybr i ffwrdd Aerfoadran Ryngwladol Adirondack yn 1,219."", ""Mae hyd y llwybr i ffwrdd Aerfoadran Ryngwladol Adirondack yn 1219.0."", ""Mae hyd y llwybr i ffwrdd Aerfoadr Ryngwladol Adirondack yn 1219.0.""",Welsh
6031,Artist,(X (X (X) (X))),mixed,"[<S> Alternative rock <P> stylisticOrigin <O> Punk rock, <S> Andrew White (musician) <P> genre <O> Alternative rock, <S> Alternative rock <P> stylisticOrigin <O> New wave music]","""Mae gener y cerddor Andrew White yn roc amgen sydd wedi'i gynhyrchu o gerddoriaeth llwff newydd ac mae ei gyflwyn arddullus yn y roc punk. """,Welsh
7387,Food,(X (X (X) (X))),mixed,"[<S> Singapore <P> leader <O> Tony Tan, <S> Beef kway teow <P> country <O> Singapore, <S> Singapore <P> language <O> Standard Chinese]","""Mae Tony Tan yn arweinydd yn Singapore lle mae Cinas Gweithredol yn cael ei siarad ac lle mae'r geg Beef kway teow yn dod o. """", Mae Beef kway teow yn geg o wlad Singapore. Mae Cinas Gweithredol yn eu iaith, y arweinydd y wlad hon yw Tony Tan. """", Mae arweinydd Singapore yn Tony Tan, mae Beef kway teow yn geg cyffredin o Singapore, mae Cinas Gweithredol yn un o'r ieithoedd a ddywedir yn Singapore. """,Welsh
3285,Airport,(X (X (X))),chain,"[<S> Allama Iqbal International Airport <P> location <O> Punjab, Pakistan, <S> Punjab, Pakistan <P> leaderTitle <O> Provincial Assembly of the Punjab]","""Mae Arfordir Rhyngwladol Allama Iqbal yn lleoli yn Punjab, Pakistan, sy'n cael ei arwain gan Cynulliad Gwladol y Punjab. """", Mae Arfordir Rhyngwladol Allama Iqbal yn lleoli yn Allama Iqbal, Pakistan, a'i arwain gan Cynulliad Gwladol y Punjab. """,Welsh
